Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training started
Epoch:22 elapse:1.1min ETA:31.7min losses:encoder_loss:1.118410774683341 encoder_mse_loss:0.006108529235307987 encoder_ssim:0.9047835324055109 encoder_adv_loss:0.45944711076907624 encoder_host_loss:1.6455573849188976 discriminator_loss:1.4242918032866259 host_net_loss:1.118410774683341 
Epoch:23 elapse:1.1min ETA:30.7min losses:encoder_loss:1.1003396764779703 encoder_mse_loss:0.006032822229183064 encoder_ssim:0.9063077304607783 encoder_adv_loss:0.4523792742154537 encoder_host_loss:1.614005860609886 discriminator_loss:1.4377083335167322 host_net_loss:1.1003396764779703 
Epoch:24 elapse:1.1min ETA:29.5min losses:encoder_loss:1.069083749789458 encoder_mse_loss:0.005866329754010225 encoder_ssim:0.910089015807861 encoder_adv_loss:0.4411550762561651 encoder_host_loss:1.6077476360859015 discriminator_loss:1.4508768002192178 host_net_loss:1.069083749789458 
Epoch:25 elapse:1.2min ETA:28.8min losses:encoder_loss:1.0793833073897239 encoder_mse_loss:0.0058479006378314435 encoder_ssim:0.9092521108113802 encoder_adv_loss:0.45122753931925846 encoder_host_loss:1.5687261803027912 discriminator_loss:1.4377619459078863 host_net_loss:1.0793833073897239 
Epoch:26 elapse:1.1min ETA:27.4min losses:encoder_loss:1.0847911544335194 encoder_mse_loss:0.005805710217772195 encoder_ssim:0.9103296519854129 encoder_adv_loss:0.45085859505029824 encoder_host_loss:1.6816368995568691 discriminator_loss:1.4387882978488238 host_net_loss:1.0847911544335194 
Epoch:27 elapse:1.2min ETA:26.5min losses:encoder_loss:1.040896721680959 encoder_mse_loss:0.005600372928743943 encoder_ssim:0.9144002035642281 encoder_adv_loss:0.4369930502695915 encoder_host_loss:1.5910357148219378 discriminator_loss:1.460894629282829 host_net_loss:1.040896721680959 
Epoch:28 elapse:1.2min ETA:25.4min losses:encoder_loss:1.0419411283272964 encoder_mse_loss:0.005501311997739742 encoder_ssim:0.916485157991067 encoder_adv_loss:0.4411242343676396 encoder_host_loss:1.6673874476017096 discriminator_loss:1.4542636311971224 host_net_loss:1.0419411283272964 
Epoch:29 elapse:1.2min ETA:24.2min losses:encoder_loss:1.0589583263947413 encoder_mse_loss:0.00552905826136852 encoder_ssim:0.9155545314153035 encoder_adv_loss:0.45188853740692136 encoder_host_loss:1.682552720186038 discriminator_loss:1.4384603515649452 host_net_loss:1.0589583263947413 
Epoch:30 elapse:1.2min ETA:23.2min losses:encoder_loss:1.0472761186269612 encoder_mse_loss:0.005391485577759644 encoder_ssim:0.9176503079059797 encoder_adv_loss:0.4417207970833167 encoder_host_loss:1.776324015091627 discriminator_loss:1.4543576524807857 host_net_loss:1.0472761186269612 
Epoch:31 elapse:1.1min ETA:21.7min losses:encoder_loss:1.0343428448224679 encoder_mse_loss:0.005345027994077939 encoder_ssim:0.9178678485063406 encoder_adv_loss:0.43866850099502464 encoder_host_loss:1.6897850007582933 discriminator_loss:1.4567115566669366 host_net_loss:1.0343428448224679 
Epoch:32 elapse:1.1min ETA:20.3min losses:encoder_loss:1.0512562844997797 encoder_mse_loss:0.005330691253169416 encoder_ssim:0.9176218445484455 encoder_adv_loss:0.44141392746032815 encoder_host_loss:1.8195950150489808 discriminator_loss:1.4519704913481688 host_net_loss:1.0512562844997797 
Epoch:33 elapse:1.1min ETA:19.4min losses:encoder_loss:1.0259594014057747 encoder_mse_loss:0.005235966252616774 encoder_ssim:0.9202118644347558 encoder_adv_loss:0.4371907144784927 encoder_host_loss:1.7412010840880565 discriminator_loss:1.4617035856613747 host_net_loss:1.0259594014057747 
Epoch:34 elapse:1.1min ETA:18.0min losses:encoder_loss:1.0254074468062475 encoder_mse_loss:0.005124216861067674 encoder_ssim:0.921496141415376 encoder_adv_loss:0.4398978657447375 encoder_host_loss:1.7761763967000521 discriminator_loss:1.4574640053969163 host_net_loss:1.0254074468062475 
Epoch:35 elapse:1.1min ETA:16.6min losses:encoder_loss:1.020256916834758 encoder_mse_loss:0.005040500135734104 encoder_ssim:0.923100370168686 encoder_adv_loss:0.4394946251160059 encoder_host_loss:1.8114264237575042 discriminator_loss:1.456544863872039 host_net_loss:1.020256916834758 
Epoch:36 elapse:1.1min ETA:15.5min losses:encoder_loss:1.0161505581476749 encoder_mse_loss:0.0050427346054512335 encoder_ssim:0.9225244335639171 encoder_adv_loss:0.43528350179012004 encoder_host_loss:1.7836101680229872 discriminator_loss:1.4636425644923479 host_net_loss:1.0161505581476749 
Epoch:37 elapse:1.1min ETA:14.7min losses:encoder_loss:1.0011503814122615 encoder_mse_loss:0.004852457171401535 encoder_ssim:0.9259262161377149 encoder_adv_loss:0.43825551095681314 encoder_host_loss:1.7796857966826511 discriminator_loss:1.4597452160639641 host_net_loss:1.0011503814122615 
Epoch:38 elapse:1.1min ETA:13.6min losses:encoder_loss:0.9873659217968965 encoder_mse_loss:0.004768654063511162 encoder_ssim:0.9276208038513477 encoder_adv_loss:0.431569323860682 encoder_host_loss:1.7959464967250824 discriminator_loss:1.469799049389668 host_net_loss:0.9873659217968965 
Epoch:39 elapse:1.1min ETA:12.4min losses:encoder_loss:1.0002331585456163 encoder_mse_loss:0.0048087351471902086 encoder_ssim:0.9265187821327112 encoder_adv_loss:0.4347584663293301 encoder_host_loss:1.8364239189869318 discriminator_loss:1.4662712916349754 host_net_loss:1.0002331585456163 
Epoch:40 elapse:1.1min ETA:11.3min losses:encoder_loss:0.9810607849023281 encoder_mse_loss:0.004644341809221376 encoder_ssim:0.9288721611866584 encoder_adv_loss:0.42835841324084845 encoder_host_loss:1.8313014979545887 discriminator_loss:1.4739603843444433 host_net_loss:0.9810607849023281 
Epoch:41 elapse:1.1min ETA:10.1min losses:encoder_loss:0.9830271734641148 encoder_mse_loss:0.004566902061327337 encoder_ssim:0.9302578042715024 encoder_adv_loss:0.43248933973984843 encoder_host_loss:1.881261448829602 discriminator_loss:1.4689875135054955 host_net_loss:0.9830271734641148 
Epoch:42 elapse:1.1min ETA:9.1min losses:encoder_loss:0.9988195558389028 encoder_mse_loss:0.004548717130166598 encoder_ssim:0.9296211241147457 encoder_adv_loss:0.4336530551696435 encoder_host_loss:1.9962596690043426 discriminator_loss:1.4649222361735807 host_net_loss:0.9988195558389028 
Epoch:43 elapse:1.1min ETA:8.0min losses:encoder_loss:1.0021089755571806 encoder_mse_loss:0.0044885764567133704 encoder_ssim:0.929931022417851 encoder_adv_loss:0.4341838547816643 encoder_host_loss:2.0411449927550094 discriminator_loss:1.4628194469671982 host_net_loss:1.0021089755571806 
Epoch:44 elapse:1.1min ETA:6.8min losses:encoder_loss:0.9928840184823061 encoder_mse_loss:0.0043611572858376 encoder_ssim:0.9315820172811166 encoder_adv_loss:0.4308343924008883 encoder_host_loss:2.0687623659769696 discriminator_loss:1.4671409512177491 host_net_loss:0.9928840184823061 
Epoch:45 elapse:1.1min ETA:5.6min losses:encoder_loss:0.9945405990649492 encoder_mse_loss:0.004336073277040552 encoder_ssim:0.9314187158376742 encoder_adv_loss:0.43121954248501704 encoder_host_loss:2.074064117211562 discriminator_loss:1.4632129467450656 host_net_loss:0.9945405990649492 
Epoch:46 elapse:1.1min ETA:4.5min losses:encoder_loss:0.9921728468858279 encoder_mse_loss:0.004295984958298504 encoder_ssim:0.9330116852735861 encoder_adv_loss:0.42949162820974984 encoder_host_loss:2.148516883605566 discriminator_loss:1.4687835085086334 host_net_loss:0.9921728468858279 
Epoch:47 elapse:1.1min ETA:3.4min losses:encoder_loss:0.9989838014810514 encoder_mse_loss:0.004204210656909988 encoder_ssim:0.9329011081120907 encoder_adv_loss:0.4295116254152396 encoder_host_loss:2.2136508260017784 discriminator_loss:1.4711636974261357 host_net_loss:0.9989838014810514 
Epoch:48 elapse:1.1min ETA:2.3min losses:encoder_loss:0.9666083534558614 encoder_mse_loss:0.004091774286606755 encoder_ssim:0.9362170155231769 encoder_adv_loss:0.42766770269626225 encoder_host_loss:2.0775040132877156 discriminator_loss:1.4699178292201116 host_net_loss:0.9666083534558614 
Epoch:49 elapse:1.1min ETA:1.1min losses:encoder_loss:0.9716564973195394 encoder_mse_loss:0.004044276548740573 encoder_ssim:0.9361768600268242 encoder_adv_loss:0.41993176264640614 encoder_host_loss:2.204762014517417 discriminator_loss:1.4823470213474372 host_net_loss:0.9716564973195394 
